id,latitude,longitude
43298,12.962020,77.533743
11991,12.962226,77.666524
43521,12.962488,77.716828
31239,12.962694,77.606622
45115,12.962758,77.586836
153025,12.962867,77.577509
153027,12.962867,77.577509
153044,12.962867,77.577509
153056,12.962867,77.577509
153061,12.962867,77.577509
153069,12.962867,77.577509
153077,12.962867,77.577509
153112,12.962867,77.577509
153133,12.962867,77.577509
153161,12.962867,77.577509
153173,12.962867,77.577509
153193,12.962867,77.577509
153194,12.962867,77.577509
153204,12.962867,77.577509
153205,12.962867,77.577509
38498,12.962935,77.712300
11960,12.963001,77.624973
38627,12.963055,77.618570
29173,12.963195,77.641826
46313,12.963312,77.679224
46434,12.963312,77.679224
46201,12.963611,77.640556
36027,12.963701,77.595796
38965,12.963928,77.583194
44915,12.963945,77.508850
15853,12.964102,77.710237
46311,12.964163,77.658076
46436,12.964163,77.658076
55482,12.964186,77.592147
42339,12.964276,77.578136
45747,12.964747,77.576808
45849,12.965019,77.759547
44762,12.965255,77.575267
45836,12.965306,77.611023
40623,12.965480,77.718464
44977,12.965513,77.506347
31656,12.965611,77.576136
45506,12.965611,77.576136
45698,12.965611,77.576136
45809,12.965611,77.576136
45818,12.965611,77.576136
46220,12.965611,77.576136
46227,12.965611,77.576136
42391,12.965912,77.575312
57925,12.965953,77.553321
40978,12.966059,77.717937
43871,12.966059,77.717937
12808,12.966277,77.715095
40502,12.966398,77.717124
31273,12.966800,77.611397
38757,12.967042,77.582299
48197,12.967075,77.565466
37603,12.967086,77.680813
54543,12.967249,77.603352
122470,12.967379,77.535974
11958,12.967401,77.648131
44814,12.967499,77.575018
47094,12.967630,77.713658
46282,12.967744,77.588172
45325,12.968035,77.509628
34156,12.968064,77.595068
57920,12.968295,77.586023
58093,12.968309,77.602191
46019,12.968947,77.601621
43951,12.968980,77.637059
41696,12.968997,77.720885
30606,12.969095,77.626568
46271,12.969117,77.597052
150369,12.969282,77.749993
39159,12.969583,77.649748
54544,12.969759,77.597504
29462,12.969820,77.749972
37168,12.969820,77.749972
46060,12.969820,77.749972
49327,12.969820,77.749972
53875,12.969853,77.594359
43292,12.969921,77.609941
50038,12.970025,77.653613
50076,12.970025,77.653613
50077,12.970025,77.653613
35848,12.970037,77.601692
43242,12.970263,77.609963
43313,12.970263,77.609963
45936,12.970263,77.609963
48408,12.970263,77.609963
38496,12.970343,77.700647
59795,12.970435,77.617502
31272,12.970437,77.609445
46022,12.970553,77.655456
37166,12.970589,77.604118
16549,12.970719,77.606815
46439,12.970729,77.647622
22512,12.970877,77.644619
37076,12.970923,77.576314
46446,12.970933,77.635059
33280,12.970991,77.606900
37044,12.970991,77.606900
43318,12.970991,77.606900
43634,12.970991,77.606900
22222,12.971081,77.606283
30604,12.971210,77.625905
20259,12.971306,77.606991
20262,12.971306,77.606991
44761,12.971307,77.592030
31074,12.971355,77.656814
40277,12.971440,77.598060
11898,12.971599,77.594563
11950,12.971599,77.594563
11955,12.971599,77.594563
12838,12.971599,77.594563
13474,12.971599,77.594563
13476,12.971599,77.594563
14696,12.971599,77.594563
15574,12.971599,77.594563
15934,12.971599,77.594563
20136,12.971599,77.594563
20688,12.971599,77.594563
20923,12.971599,77.594563
20931,12.971599,77.594563
21368,12.971599,77.594563
25329,12.971599,77.594563
25367,12.971599,77.594563
26737,12.971599,77.594563
27919,12.971599,77.594563
28573,12.971599,77.594563
28574,12.971599,77.594563
28575,12.971599,77.594563
28959,12.971599,77.594563
28963,12.971599,77.594563
28965,12.971599,77.594563
28966,12.971599,77.594563
29042,12.971599,77.594563
29609,12.971599,77.594563
29807,12.971599,77.594563
29914,12.971599,77.594563
29983,12.971599,77.594563
30396,12.971599,77.594563
30401,12.971599,77.594563
30486,12.971599,77.594563
30631,12.971599,77.594563
31108,12.971599,77.594563
31349,12.971599,77.594563
32033,12.971599,77.594563
32818,12.971599,77.594563
33281,12.971599,77.594563
33560,12.971599,77.594563
34227,12.971599,77.594563
34594,12.971599,77.594563
35455,12.971599,77.594563
35708,12.971599,77.594563
35958,12.971599,77.594563
36087,12.971599,77.594563
36228,12.971599,77.594563
36471,12.971599,77.594563
36799,12.971599,77.594563
36804,12.971599,77.594563
36815,12.971599,77.594563
37474,12.971599,77.594563
37780,12.971599,77.594563
37827,12.971599,77.594563
37851,12.971599,77.594563
38303,12.971599,77.594563
38788,12.971599,77.594563
38900,12.971599,77.594563
39115,12.971599,77.594563
39351,12.971599,77.594563
39445,12.971599,77.594563
39946,12.971599,77.594563
40424,12.971599,77.594563
40590,12.971599,77.594563
41130,12.971599,77.594563
42087,12.971599,77.594563
42088,12.971599,77.594563
42357,12.971599,77.594563
42365,12.971599,77.594563
42430,12.971599,77.594563
43365,12.971599,77.594563
43367,12.971599,77.594563
44725,12.971599,77.594563
44918,12.971599,77.594563
45009,12.971599,77.594563
45448,12.971599,77.594563
45581,12.971599,77.594563
45592,12.971599,77.594563
45607,12.971599,77.594563
45611,12.971599,77.594563
45755,12.971599,77.594563
46023,12.971599,77.594563
46042,12.971599,77.594563
46057,12.971599,77.594563
46470,12.971599,77.594563
46478,12.971599,77.594563
46520,12.971599,77.594563
46522,12.971599,77.594563
46907,12.971599,77.594563
46922,12.971599,77.594563
47386,12.971599,77.594563
47445,12.971599,77.594563
48793,12.971599,77.594563
48871,12.971599,77.594563
48962,12.971599,77.594563
48985,12.971599,77.594563
48997,12.971599,77.594563
49064,12.971599,77.594563
49117,12.971599,77.594563
49599,12.971599,77.594563
50140,12.971599,77.594563
53543,12.971599,77.594563
54958,12.971599,77.594563
54970,12.971599,77.594563
55087,12.971599,77.594563
55875,12.971599,77.594563
55882,12.971599,77.594563
