lat,lon,restaurants,shops,bus_stops,hospitals,police_stations,crowd_score,hospital_dist_m,police_dist_m
1430216.3169589292,768386.0707355522,0,0,0,0,0,0,1154.8287140641585,1896.4589664903317
1431851.4226373232,768392.5962657639,0,0,0,0,0,0,1101.3104344292478,3426.0943022474135
1431919.8368289426,768408.5301971341,0,0,0,0,0,0,1077.216934608293,3488.2597804004768
1432854.8956742052,768323.7928105344,0,0,0,0,0,0,876.2745994998944,4371.9673512669
1432998.3210203256,768315.8329231613,0,0,0,0,0,0,866.5992384345863,4322.281271302244
1433256.0750112066,768303.5024090718,0,0,0,0,0,0,906.0582338155707,4212.127048867766
1433495.2731388682,768322.3474682347,0,0,0,0,0,0,865.5227611431817,3992.296471889088
1433718.3471482384,768379.490667967,0,0,0,0,0,0,635.2658664232788,3769.733603253533
1433885.4238731214,768426.0067819329,0,0,0,0,0,0,461.98985048864125,3601.7945880637703
1434298.8049192128,768385.9473625025,0,0,0,0,0,0,146.56547263424207,3274.396998609471
1434505.4761647242,768370.2578696326,0,0,0,0,0,0,231.25604910758636,3115.960617484245
1434744.8747003446,768379.6164640107,0,0,0,0,0,0,434.7830500237211,2922.3751466620865
1434914.6299879677,768409.8666311249,0,0,0,0,0,0,590.4221501373255,2773.7468685557114
1436114.0596486207,768426.0608817348,0,0,0,0,0,0,664.8055138630152,2021.4757028836837
1436291.9036285093,768408.2373332207,0,0,0,0,0,0,569.060771551351,1967.3375215103974
1436522.0792952925,768382.8525587893,0,0,0,0,0,0,517.8496222957987,1922.085704742959
1436768.954204622,768317.1352399966,0,0,0,0,0,0,596.3834147823724,1942.1303531843844
1437006.02912519,768303.457229976,0,1,1,0,0,4,665.3408825035503,1942.8341725791945
1437256.02912519,768303.457229976,0,0,2,0,0,4,715.6248680927627,1960.4615298003162
1437506.02912519,768303.457229976,0,0,0,0,0,0,840.570885609872,2009.282010448635
1437756.02912519,768303.457229976,0,0,0,0,0,0,1012.9165195795482,2087.1078039234153
1437999.6216558083,768309.3577480201,0,0,0,0,0,0,1204.0238305578125,2182.6580450633246
1438234.6774974088,768362.2346268799,0,0,0,0,0,0,1382.614428191462,2256.155365975375
1438433.1829228292,768414.3771705586,0,0,0,0,0,0,1543.9569601078692,2329.9524458745072
1439294.642603263,768337.7532709936,0,0,0,0,0,0,2387.365769142461,2989.646993668334
1439470.81671535,768371.998843054,0,0,0,0,0,0,2549.4693843218583,3106.4957625094953
1439649.5502588712,768420.1456681022,0,0,0,0,0,0,2451.777001363376,3223.304071215143
1425091.1150753517,768650.9602472264,0,0,0,0,0,0,3249.4592319172093,3505.47362432559
1425205.660535593,768635.2760967396,0,0,0,0,0,0,3136.8427798202492,3395.731287762876
1426786.923921904,768659.7893446084,0,0,0,0,0,0,1565.753367842668,1858.3408977926458
1427110.5768088845,768644.8067052629,0,0,0,0,0,0,1251.9294151558727,1562.5542553599284
1427265.4185904888,768559.8281134982,0,0,0,0,0,0,1127.4496851792726,1461.802433050264
1427506.02912519,768553.457229976,0,0,0,0,0,0,906.9478682089688,1261.031459784357
1427756.02912519,768553.457229976,0,0,1,0,0,2,688.5348647962279,1065.529512271993
1428006.02912519,768553.457229976,1,0,0,0,0,3,500.60571753739134,897.4998275650628
1428256.02912519,768553.457229976,0,0,1,0,0,2,390.0409066012091,775.0217670724114
1428506.02912519,768553.457229976,0,0,0,0,0,0,422.6792320583776,721.6727363512972
1428756.02912519,768553.457229976,0,0,0,0,0,0,574.61600883079,752.3060131020452
1429006.02912519,768553.457229976,0,0,0,0,0,0,644.6657830337177,857.9726897204948
1429256.02912519,768553.457229976,0,0,0,0,0,0,650.7091593148809,1015.514615977016
1429506.02912519,768553.457229976,0,0,0,0,0,0,745.8222631552923,1204.7500712677597
1429756.02912519,768553.457229976,0,0,1,0,0,2,894.4236338615162,1413.0023118085824
1430006.02912519,768553.457229976,0,0,0,0,0,0,927.0461079573289,1633.0120428622454
1430228.435119991,768553.8288428504,0,0,0,0,0,0,1008.3045270316601,1835.059304098612
1431618.528450388,768676.4211677458,0,0,0,0,0,0,898.355897237555,3135.3368053371905
1431805.1326790934,768579.7220362147,0,0,0,0,0,0,926.2663023053092,3337.4839971844453
1432001.0500348697,768560.2596593279,0,0,0,0,0,0,921.1960430241685,3533.2289405021174
1432250.9826874672,768593.3993913815,0,0,0,0,0,0,918.0870135835089,3772.2198465137226
1432492.3054884316,768619.6834565471,0,0,0,0,0,0,780.0602902280338,4005.4359246101203
1432803.4996921348,768586.4956447006,0,0,0,0,0,0,638.0269588107044,4156.57432103695
1433006.02912519,768553.457229976,0,0,0,0,0,0,628.8600833684741,4100.685922715207
1433256.02912519,768553.457229976,0,0,0,0,0,0,666.6068267958093,4006.7665082961385
1433506.02912519,768553.457229976,0,0,0,0,0,0,786.2978561635227,3876.5243412688505
1433756.02912519,768553.457229976,0,0,0,0,0,0,580.6268776881744,3653.251395145892
1433999.7119032543,768574.6156140552,0,0,0,0,0,0,339.62923230512433,3428.7969618191783
1434256.7676788822,768554.2035517535,0,0,1,1,0,2,83.62968585492152,3217.496896255894
1434506.02912519,768553.457229976,0,0,0,0,0,0,171.886985417334,3008.7638855835703
1434756.02912519,768553.457229976,0,0,0,0,0,0,420.7346637844795,2805.6131071260443
1434998.2797090514,768563.9603828306,0,0,0,0,0,0,663.1880601705994,2609.7285227656394
1435255.2901734188,768591.8188610718,0,0,0,0,0,0,921.440188233049,2399.6328298258095
1435509.7786962627,768586.6612940335,0,0,0,0,0,0,1117.419112499195,2226.078717319671
1435758.3911981923,768575.1237862107,0,0,1,0,0,2,885.4323206372446,2077.970034252809
1436008.8103833268,768558.9121210241,0,0,0,0,0,0,666.5572426398084,1953.6033260919417
1436256.02912519,768553.457229976,0,0,0,0,0,0,474.47619485348156,1846.4272617654158
1436506.02912519,768553.457229976,0,0,0,0,0,0,352.18573118487166,1761.5613587599053
1436756.02912519,768553.457229976,0,0,0,0,0,0,362.94155669749927,1709.3575425760278
1437006.02912519,768553.457229976,0,1,0,0,0,2,415.4280389597183,1692.840215746031
1437256.02912519,768553.457229976,0,0,0,0,0,0,491.9562149786279,1713.0419678842027
1437506.02912519,768553.457229976,0,0,0,0,0,0,660.6522378364268,1768.7050549535086
1437756.02912519,768553.457229976,0,0,0,0,0,0,869.4261563010739,1856.6427656131395
1438006.02912519,768553.457229976,0,0,0,0,0,0,1095.601343173072,1972.5433193694682
1438256.02912519,768553.457229976,0,0,0,0,0,0,1330.3318251717578,2111.8077408880363
1438502.195566877,768558.8884764789,0,0,0,0,0,0,1564.656593499387,2263.5360849524013
1438754.4168092066,768583.8912536731,0,0,0,0,0,0,1803.7828243518325,2421.6832063921456
1439004.164978155,768578.9690256553,0,0,0,0,0,0,2049.4060951119263,2612.07286131033
1439260.5683226043,768557.3671935452,0,0,0,0,0,0,2305.403675425775,2827.063904569534
